Suit_Card_1,Rank_Card_1,Suit_Card_2,Rank_Card_2,Suit_Card_3,Rank_Card_3,Suit_Card_4,Rank_Card_4,Suit_Card_5,Rank_Card_5,Poker_Hand
Clubs,King,Clubs,Four,Spades,Seven,Spades,Nine,Hearts,Eight,Nothing
Clubs,Jack,Spades,Three,Spades,Five,Diamonds,Nine,Hearts,Six,Nothing
Diamonds,Nine,Hearts,Two,Diamonds,Four,Diamonds,King,Hearts,Seven,Nothing
Hearts,Jack,Hearts,Queen,Clubs,King,Diamonds,King,Hearts,Seven,One_Pair
Diamonds,Jack,Hearts,Queen,Hearts,Three,Spades,Five,Hearts,Nine,Nothing
Clubs,Five,Spades,Eight,Diamonds,Ten,Hearts,Seven,Spades,Seven,One_Pair
Diamonds,Six,Spades,King,Spades,Four,Spades,Nine,Clubs,Eight,Nothing
Hearts,Ten,Diamonds,Eight,Diamonds,Three,Diamonds,Six,Diamonds,Nine,Nothing
Clubs,Queen,Hearts,Eight,Hearts,Queen,Hearts,Two,Diamonds,Four,One_Pair
Diamonds,Five,Clubs,Ten,Spades,King,Hearts,King,Clubs,Queen,One_Pair
Spades,Four,Clubs,Jack,Hearts,Six,Diamonds,Six,Spades,Nine,One_Pair
Spades,Five,Diamonds,Jack,Clubs,Ten,Diamonds,Two,Diamonds,Nine,Nothing
Hearts,Nine,Spades,Four,Diamonds,Nine,Clubs,Ten,Diamonds,Jack,One_Pair
Spades,Four,Hearts,Three,Spades,Eight,Diamonds,Ten,Clubs,Jack,Nothing
Spades,Two,Spades,Six,Spades,Queen,Spades,Jack,Diamonds,Six,One_Pair
Clubs,Five,Diamonds,Four,Clubs,Queen,Hearts,Two,Spades,Five,One_Pair
Diamonds,Eight,Hearts,Five,Hearts,Nine,Hearts,Two,Clubs,Four,Nothing
Hearts,Nine,Hearts,Six,Spades,Jack,Diamonds,Four,Diamonds,Ace,Nothing
Clubs,King,Spades,King,Hearts,Nine,Diamonds,Four,Diamonds,Ten,One_Pair
Spades,Eight,Hearts,Three,Hearts,Two,Diamonds,Two,Spades,Three,Two_Pairs
Diamonds,Jack,Clubs,Eight,Spades,Seven,Diamonds,Three,Hearts,Two,Nothing
Diamonds,Ace,Spades,Queen,Spades,Jack,Clubs,Four,Diamonds,Queen,One_Pair
Hearts,Eight,Clubs,Two,Diamonds,Ace,Hearts,Four,Spades,Four,One_Pair
Spades,Nine,Clubs,Two,Hearts,Five,Clubs,Seven,Clubs,Three,Nothing
Spades,Seven,Diamonds,King,Spades,Nine,Diamonds,Three,Spades,Four,Nothing
Clubs,Jack,Diamonds,Three,Spades,Queen,Clubs,Four,Spades,King,Nothing
Diamonds,Queen,Clubs,Two,Spades,Three,Hearts,Two,Hearts,King,One_Pair
Diamonds,Four,Hearts,Seven,Spades,Two,Spades,Jack,Diamonds,Eight,Nothing
Spades,Eight,Diamonds,Six,Spades,Ace,Clubs,Jack,Diamonds,Five,Nothing
Hearts,Four,Diamonds,Six,Clubs,Six,Hearts,Seven,Diamonds,Ace,One_Pair
Diamonds,Nine,Clubs,Ace,Spades,Nine,Hearts,King,Hearts,Eight,One_Pair
Clubs,Four,Clubs,Six,Hearts,Nine,Spades,Jack,Hearts,Ace,Nothing
Clubs,Jack,Hearts,Five,Clubs,Ten,Spades,Nine,Hearts,Three,Nothing
Clubs,Nine,Spades,Ten,Clubs,Two,Diamonds,King,Hearts,Ace,Nothing
Diamonds,King,Diamonds,Seven,Diamonds,Two,Hearts,King,Clubs,Ace,One_Pair
Hearts,Jack,Hearts,Six,Diamonds,Seven,Diamonds,Ten,Diamonds,King,Nothing
Clubs,Six,Spades,Eight,Diamonds,Jack,Clubs,Four,Spades,Ten,Nothing
Hearts,Six,Spades,King,Hearts,Two,Clubs,Eight,Clubs,Three,Nothing
Clubs,Five,Clubs,Four,Clubs,Queen,Spades,King,Hearts,Eight,Nothing
Spades,Jack,Diamonds,Three,Clubs,King,Clubs,Eight,Clubs,Two,Nothing
Spades,Nine,Diamonds,Ace,Spades,King,Diamonds,Four,Spades,Queen,Nothing
Hearts,Queen,Hearts,Seven,Hearts,Three,Clubs,Five,Diamonds,Nine,Nothing
Clubs,Eight,Hearts,Four,Hearts,Nine,Diamonds,Ten,Diamonds,Three,Nothing
Diamonds,Nine,Diamonds,Jack,Diamonds,Ten,Spades,Three,Spades,Jack,One_Pair
Diamonds,King,Spades,Eight,Spades,Seven,Hearts,Three,Clubs,Nine,Nothing
Clubs,Jack,Hearts,Eight,Diamonds,King,Spades,Seven,Diamonds,Six,Nothing
Clubs,Two,Spades,Five,Hearts,Seven,Clubs,Five,Diamonds,Two,Two_Pairs
Clubs,King,Spades,King,Clubs,Jack,Spades,Three,Hearts,Seven,One_Pair
Hearts,Three,Diamonds,Three,Spades,King,Diamonds,Seven,Hearts,Nine,One_Pair
Hearts,Nine,Clubs,King,Hearts,Four,Clubs,Jack,Clubs,Three,Nothing
Spades,Nine,Hearts,Nine,Diamonds,Ten,Spades,Five,Hearts,Eight,One_Pair
Clubs,Eight,Spades,Four,Clubs,Ten,Diamonds,Ace,Clubs,Three,Nothing
Spades,Ace,Hearts,Three,Diamonds,Two,Spades,Five,Diamonds,Ace,One_Pair
Diamonds,Two,Diamonds,Ace,Spades,Two,Clubs,Six,Clubs,Seven,One_Pair
Spades,Nine,Spades,Two,Diamonds,Seven,Hearts,Three,Spades,Ten,Nothing
Diamonds,Ten,Hearts,Ace,Diamonds,Three,Hearts,Nine,Hearts,Three,One_Pair
Diamonds,Six,Clubs,Two,Spades,Four,Clubs,Ace,Clubs,Queen,Nothing
Clubs,Jack,Spades,Eight,Diamonds,King,Spades,Two,Spades,Jack,One_Pair
Diamonds,Six,Clubs,Six,Clubs,Four,Spades,Jack,Clubs,Seven,One_Pair
Diamonds,King,Diamonds,Four,Diamonds,Three,Clubs,Eight,Spades,Eight,One_Pair
Clubs,Seven,Hearts,Ten,Clubs,Eight,Spades,Nine,Clubs,Five,Nothing
Spades,Six,Spades,Eight,Spades,Four,Clubs,Ten,Spades,King,Nothing
Spades,Seven,Diamonds,Ten,Diamonds,Ace,Hearts,Nine,Spades,Six,Nothing
Diamonds,Three,Hearts,Ace,Spades,Queen,Diamonds,King,Hearts,Eight,Nothing
Spades,Queen,Clubs,Six,Diamonds,Three,Diamonds,Jack,Clubs,Seven,Nothing
Clubs,King,Clubs,Four,Clubs,Five,Hearts,Three,Spades,Two,Nothing
Clubs,Four,Hearts,Two,Clubs,Jack,Hearts,Seven,Spades,Ten,Nothing
Diamonds,Ten,Diamonds,Jack,Clubs,King,Clubs,Jack,Hearts,Ten,Two_Pairs
Hearts,Ten,Spades,King,Spades,Six,Spades,Two,Hearts,Two,One_Pair
Hearts,Five,Diamonds,Eight,Spades,King,Hearts,Eight,Hearts,Ace,One_Pair
Clubs,Ten,Clubs,Ace,Hearts,Ace,Clubs,Nine,Spades,Ace,Three_Kind
Clubs,Five,Hearts,Five,Diamonds,Two,Diamonds,Jack,Hearts,Ace,One_Pair
Hearts,Three,Spades,Jack,Spades,Four,Spades,Nine,Spades,Queen,Nothing
Diamonds,King,Hearts,Three,Spades,Six,Diamonds,Two,Clubs,King,One_Pair
Spades,Ten,Diamonds,Six,Hearts,Two,Clubs,King,Clubs,Queen,Nothing
Spades,Two,Hearts,Seven,Clubs,Jack,Clubs,King,Hearts,Jack,One_Pair
Clubs,Ace,Diamonds,Seven,Hearts,Ten,Diamonds,Ace,Diamonds,Four,One_Pair
Clubs,Six,Spades,Ten,Spades,Queen,Spades,Two,Hearts,Two,One_Pair
Hearts,Five,Diamonds,Jack,Spades,Four,Hearts,Ten,Hearts,Eight,Nothing
Spades,Jack,Clubs,Ace,Hearts,Two,Clubs,King,Clubs,Five,Nothing
Spades,Five,Diamonds,Jack,Clubs,Eight,Diamonds,Three,Diamonds,King,Nothing
Spades,Six,Diamonds,Ace,Spades,Two,Hearts,King,Diamonds,Nine,Nothing
Hearts,Six,Clubs,Ten,Spades,Five,Spades,Two,Clubs,Eight,Nothing
Spades,Seven,Spades,Ten,Hearts,Queen,Diamonds,Six,Spades,Five,Nothing
Spades,Three,Spades,Ace,Clubs,Four,Diamonds,Eight,Hearts,Ace,One_Pair
Hearts,Four,Clubs,Five,Clubs,Two,Spades,Seven,Clubs,Ten,Nothing
Clubs,Five,Clubs,Ace,Diamonds,Three,Clubs,Ten,Hearts,Jack,Nothing
Diamonds,Ten,Diamonds,Jack,Clubs,Four,Spades,Seven,Hearts,Two,Nothing
Spades,Ten,Spades,Nine,Spades,Eight,Diamonds,Nine,Spades,Three,One_Pair
Clubs,Three,Clubs,Ace,Spades,Queen,Spades,Ace,Hearts,Three,Two_Pairs
Clubs,Ten,Clubs,Queen,Clubs,Jack,Clubs,Seven,Hearts,Two,Nothing
Diamonds,Seven,Clubs,Ten,Hearts,Five,Diamonds,King,Diamonds,Ten,One_Pair
Clubs,Two,Hearts,Ten,Spades,Eight,Clubs,Six,Spades,Two,One_Pair
Clubs,Seven,Hearts,Three,Spades,Three,Hearts,Queen,Diamonds,Four,One_Pair
Spades,Queen,Spades,Ten,Hearts,Seven,Clubs,Queen,Hearts,Nine,One_Pair
Clubs,Nine,Hearts,Ten,Clubs,Ten,Diamonds,Queen,Hearts,Jack,One_Pair
Spades,Nine,Diamonds,King,Diamonds,Three,Spades,Jack,Hearts,Eight,Nothing
Diamonds,Nine,Hearts,Nine,Diamonds,Eight,Spades,Seven,Diamonds,Seven,Two_Pairs
Clubs,King,Hearts,Four,Spades,Jack,Diamonds,Four,Clubs,Three,One_Pair
Hearts,Ace,Hearts,Two,Hearts,Ten,Clubs,Five,Spades,Five,One_Pair
Diamonds,Queen,Diamonds,Five,Clubs,Two,Diamonds,Three,Spades,Nine,Nothing
Spades,Seven,Spades,Three,Clubs,Queen,Diamonds,Ace,Spades,Six,Nothing
Hearts,Seven,Clubs,King,Diamonds,Nine,Hearts,Three,Spades,Ace,Nothing
Diamonds,Five,Clubs,Two,Clubs,Queen,Clubs,Eight,Clubs,Six,Nothing
Hearts,Nine,Spades,Queen,Spades,Jack,Diamonds,Ace,Clubs,Jack,One_Pair
Diamonds,Seven,Spades,Jack,Spades,Two,Clubs,Five,Clubs,Ace,Nothing
Clubs,Ace,Spades,Five,Diamonds,Eight,Clubs,Ten,Diamonds,Seven,Nothing
Diamonds,Nine,Clubs,Queen,Hearts,Seven,Diamonds,Ten,Diamonds,Queen,One_Pair
Clubs,Two,Diamonds,Eight,Spades,Eight,Spades,King,Spades,Six,One_Pair
Hearts,King,Diamonds,Six,Clubs,Four,Clubs,Two,Spades,Ace,Nothing
Spades,Ace,Diamonds,Six,Diamonds,Eight,Clubs,Two,Clubs,Four,Nothing
Hearts,Eight,Clubs,Seven,Clubs,Jack,Hearts,Two,Clubs,Eight,One_Pair
Spades,Six,Hearts,Seven,Clubs,Five,Diamonds,Ten,Spades,Ten,One_Pair
Spades,Jack,Diamonds,Queen,Hearts,Three,Clubs,Four,Hearts,Six,Nothing
Clubs,Four,Diamonds,Ten,Diamonds,Eight,Spades,Two,Spades,Nine,Nothing
Diamonds,Ace,Spades,Ten,Clubs,Ten,Hearts,Two,Hearts,Jack,One_Pair
Hearts,Nine,Clubs,Seven,Spades,Queen,Spades,Ace,Diamonds,Ten,Nothing
Hearts,Ten,Diamonds,Two,Clubs,Ten,Clubs,Three,Clubs,Nine,One_Pair
Spades,Queen,Hearts,Queen,Diamonds,Queen,Hearts,Four,Clubs,Six,Three_Kind
Hearts,Queen,Diamonds,Five,Clubs,Nine,Clubs,Seven,Spades,Three,Nothing
Diamonds,Five,Diamonds,Seven,Hearts,Five,Hearts,Eight,Clubs,Ace,One_Pair
Diamonds,Nine,Spades,Three,Clubs,Queen,Hearts,Jack,Hearts,Seven,Nothing
Diamonds,Jack,Spades,Queen,Clubs,Eight,Hearts,Two,Hearts,Five,Nothing
Spades,Jack,Diamonds,Jack,Diamonds,Nine,Clubs,Four,Spades,Eight,One_Pair
Spades,Seven,Clubs,Ten,Hearts,Three,Clubs,Ace,Diamonds,Five,Nothing
Clubs,Five,Spades,Six,Diamonds,Four,Diamonds,Six,Clubs,King,One_Pair
Spades,Six,Hearts,Six,Diamonds,Three,Spades,Eight,Diamonds,Seven,One_Pair
Clubs,Eight,Diamonds,Nine,Hearts,Two,Spades,Eight,Clubs,Queen,One_Pair
Diamonds,Ten,Spades,Two,Diamonds,Three,Hearts,Six,Hearts,Two,One_Pair
Clubs,Eight,Clubs,Ten,Clubs,King,Diamonds,Six,Diamonds,Seven,Nothing
Diamonds,Jack,Clubs,Two,Spades,Ace,Hearts,Nine,Spades,Two,One_Pair
Hearts,King,Hearts,Jack,Hearts,Two,Diamonds,Jack,Clubs,Ten,One_Pair
Hearts,Three,Spades,Five,Diamonds,Five,Spades,Three,Spades,Four,Two_Pairs
Spades,King,Spades,Ace,Diamonds,Ace,Hearts,Seven,Diamonds,Eight,One_Pair
Spades,Seven,Clubs,Three,Spades,Two,Hearts,Queen,Spades,Five,Nothing
Hearts,Seven,Diamonds,Eight,Spades,King,Hearts,Eight,Clubs,Two,One_Pair
Hearts,Ace,Clubs,Jack,Hearts,Two,Clubs,Five,Hearts,Jack,One_Pair
Clubs,Three,Clubs,Nine,Spades,Ten,Hearts,King,Diamonds,Jack,Nothing
Clubs,Jack,Hearts,Jack,Diamonds,Ace,Spades,Seven,Spades,Two,One_Pair
Clubs,Seven,Hearts,Jack,Spades,Queen,Clubs,Two,Hearts,Five,Nothing
Clubs,Seven,Spades,King,Hearts,Nine,Clubs,Five,Hearts,Three,Nothing
Hearts,Queen,Diamonds,Two,Hearts,King,Clubs,Three,Clubs,Four,Nothing
Hearts,Four,Clubs,Seven,Clubs,Three,Clubs,Two,Spades,Three,One_Pair
Hearts,Eight,Clubs,Six,Clubs,Eight,Hearts,Six,Spades,Ten,Two_Pairs
Hearts,Three,Spades,Seven,Hearts,Six,Clubs,Ten,Diamonds,Six,One_Pair
Diamonds,Four,Diamonds,Two,Clubs,King,Clubs,Jack,Hearts,King,One_Pair
Diamonds,Seven,Diamonds,Three,Diamonds,Six,Diamonds,Queen,Hearts,Two,Nothing
Diamonds,Jack,Spades,King,Clubs,Eight,Spades,Nine,Clubs,Three,Nothing
Diamonds,Nine,Diamonds,Seven,Spades,Eight,Diamonds,Two,Diamonds,Three,Nothing
Clubs,Four,Clubs,Ten,Clubs,Three,Hearts,Two,Spades,Seven,Nothing
Hearts,Jack,Spades,Three,Spades,Seven,Clubs,Three,Diamonds,King,One_Pair
Spades,Four,Clubs,Jack,Hearts,Jack,Diamonds,Eight,Clubs,King,One_Pair
Clubs,Eight,Hearts,Ten,Hearts,Three,Spades,Seven,Hearts,Seven,One_Pair
Hearts,Eight,Spades,Queen,Hearts,Five,Diamonds,Jack,Spades,Five,One_Pair
Hearts,Eight,Clubs,Eight,Spades,Seven,Clubs,Four,Hearts,Six,One_Pair
Hearts,Nine,Spades,Six,Hearts,Two,Hearts,Five,Diamonds,King,Nothing
Diamonds,Two,Hearts,Eight,Clubs,Six,Spades,Six,Diamonds,Ace,One_Pair
Spades,Ace,Spades,Nine,Hearts,Jack,Spades,Three,Diamonds,Four,Nothing
Hearts,Ten,Spades,Five,Clubs,Seven,Clubs,King,Hearts,Four,Nothing
Diamonds,Nine,Hearts,Queen,Diamonds,Seven,Hearts,King,Clubs,Eight,Nothing
Hearts,Queen,Clubs,Jack,Spades,King,Hearts,Nine,Hearts,Seven,Nothing
Clubs,King,Spades,Eight,Spades,Two,Diamonds,King,Clubs,Seven,One_Pair
Diamonds,Seven,Spades,Three,Hearts,Eight,Clubs,King,Clubs,Jack,Nothing
Hearts,Five,Spades,Seven,Spades,King,Spades,Three,Hearts,Eight,Nothing
Hearts,King,Diamonds,Seven,Hearts,Three,Diamonds,Six,Hearts,Jack,Nothing
Clubs,Four,Diamonds,Ace,Hearts,Queen,Clubs,Ace,Clubs,Nine,One_Pair
Spades,Ten,Hearts,Eight,Hearts,Queen,Diamonds,Jack,Hearts,Six,Nothing
Clubs,King,Hearts,Ten,Diamonds,Queen,Clubs,Three,Diamonds,Six,Nothing
Clubs,Ten,Hearts,King,Spades,Four,Diamonds,Ten,Clubs,Ace,One_Pair
Diamonds,Three,Clubs,Two,Hearts,Six,Spades,Five,Spades,Queen,Nothing
Spades,Jack,Spades,Ace,Diamonds,Seven,Diamonds,Four,Spades,Six,Nothing
Diamonds,Eight,Clubs,Five,Hearts,Ten,Clubs,King,Diamonds,Three,Nothing
Diamonds,Seven,Diamonds,Four,Spades,Eight,Hearts,Three,Spades,Five,Nothing
Clubs,Two,Spades,Jack,Spades,Four,Diamonds,King,Diamonds,Ace,Nothing
Hearts,Six,Hearts,Three,Diamonds,Four,Spades,Six,Diamonds,Seven,One_Pair
Diamonds,Ten,Spades,Ace,Spades,Ten,Clubs,Two,Hearts,Nine,One_Pair
Spades,Five,Clubs,Ace,Diamonds,Ten,Spades,Nine,Hearts,Seven,Nothing
Spades,Ace,Diamonds,Seven,Spades,Seven,Hearts,Nine,Hearts,Six,One_Pair
Clubs,Six,Clubs,Ace,Diamonds,Eight,Hearts,Jack,Clubs,Two,Nothing
Clubs,Queen,Clubs,Ace,Clubs,Eight,Diamonds,Eight,Clubs,Four,One_Pair
Hearts,Eight,Clubs,Ace,Spades,Eight,Diamonds,Three,Clubs,Four,One_Pair
Clubs,Six,Clubs,Ace,Diamonds,Ten,Diamonds,Ace,Hearts,Six,Two_Pairs
Diamonds,Ten,Spades,Ace,Clubs,Five,Hearts,Jack,Diamonds,Five,One_Pair
Hearts,Five,Diamonds,Eight,Diamonds,Three,Spades,Queen,Clubs,Eight,One_Pair
Hearts,Jack,Clubs,Nine,Spades,Three,Diamonds,Six,Clubs,Seven,Nothing
Spades,Ace,Spades,King,Spades,Nine,Hearts,Queen,Hearts,Ten,Nothing
Clubs,Two,Clubs,Seven,Diamonds,Seven,Diamonds,Queen,Hearts,Ace,One_Pair
Spades,Four,Spades,Ten,Clubs,Five,Clubs,Eight,Clubs,Seven,Nothing
Diamonds,Five,Hearts,Ace,Diamonds,Eight,Spades,Nine,Clubs,Three,Nothing
Hearts,Seven,Diamonds,Two,Spades,Eight,Clubs,Jack,Hearts,Queen,Nothing
Clubs,Jack,Spades,Nine,Spades,Seven,Spades,Six,Hearts,Jack,One_Pair
Diamonds,Ace,Hearts,Ten,Hearts,Two,Diamonds,Jack,Hearts,Three,Nothing
Clubs,King,Hearts,Six,Diamonds,Two,Spades,Six,Diamonds,Nine,One_Pair
Diamonds,Ten,Diamonds,Six,Diamonds,Nine,Diamonds,Seven,Clubs,Two,Nothing
Clubs,Ace,Clubs,Queen,Spades,Five,Spades,Nine,Clubs,Eight,Nothing
Clubs,Eight,Diamonds,Jack,Hearts,Ten,Diamonds,Seven,Hearts,Seven,One_Pair
Clubs,Nine,Clubs,Seven,Spades,Five,Spades,Nine,Clubs,Ace,One_Pair
Diamonds,Ten,Spades,Six,Diamonds,Three,Diamonds,Six,Clubs,Five,One_Pair
Clubs,Seven,Diamonds,Eight,Clubs,Two,Diamonds,Ace,Spades,Nine,Nothing
Clubs,Nine,Diamonds,Ace,Diamonds,Nine,Hearts,Seven,Hearts,Six,One_Pair
Spades,Ace,Diamonds,Ace,Clubs,King,Spades,Seven,Clubs,Six,One_Pair
Diamonds,Four,Hearts,Eight,Hearts,Six,Diamonds,Jack,Diamonds,Two,Nothing
Clubs,Eight,Clubs,Ace,Spades,Ten,Hearts,Seven,Hearts,Jack,Nothing
Spades,Nine,Clubs,Ten,Spades,Seven,Hearts,Queen,Diamonds,Two,Nothing
Hearts,Nine,Clubs,Three,Clubs,Four,Spades,Two,Clubs,King,Nothing
Clubs,Five,Clubs,Seven,Clubs,Four,Diamonds,Six,Diamonds,Jack,Nothing
Diamonds,King,Spades,Two,Diamonds,Seven,Spades,Seven,Hearts,Ace,One_Pair
Hearts,Eight,Hearts,Ten,Diamonds,Four,Spades,Ace,Diamonds,Seven,Nothing
Spades,Ace,Diamonds,Eight,Clubs,Queen,Spades,Nine,Spades,King,Nothing
Spades,Ten,Spades,Seven,Hearts,Seven,Clubs,Nine,Diamonds,Two,One_Pair
Hearts,Seven,Diamonds,King,Clubs,Nine,Clubs,King,Diamonds,Ace,One_Pair
Hearts,Ace,Spades,Ten,Diamonds,Jack,Clubs,Nine,Hearts,Five,Nothing
Diamonds,Ace,Clubs,Three,Clubs,Ten,Clubs,Queen,Diamonds,Three,One_Pair
Hearts,Three,Clubs,Queen,Hearts,Two,Spades,Six,Spades,Ten,Nothing
Spades,Six,Hearts,Five,Diamonds,Four,Spades,Queen,Spades,Seven,Nothing
Clubs,Five,Clubs,Queen,Hearts,Eight,Clubs,Jack,Spades,Jack,One_Pair
Spades,Six,Spades,Jack,Hearts,Five,Spades,Three,Clubs,Jack,One_Pair
Spades,Nine,Spades,Six,Hearts,Nine,Spades,Queen,Hearts,King,One_Pair
Spades,Jack,Hearts,Jack,Diamonds,Four,Diamonds,Jack,Spades,Queen,Three_Kind
Hearts,Seven,Spades,King,Diamonds,Seven,Clubs,Five,Spades,Eight,One_Pair
Spades,Queen,Hearts,Three,Clubs,Queen,Spades,Jack,Hearts,Queen,Three_Kind
Spades,Two,Spades,Eight,Spades,Jack,Clubs,Eight,Diamonds,Five,One_Pair
Spades,Nine,Spades,Ten,Spades,Seven,Clubs,Queen,Clubs,Jack,Nothing
Clubs,Nine,Spades,Eight,Clubs,Ten,Clubs,Six,Hearts,Nine,One_Pair
Clubs,Queen,Clubs,Jack,Hearts,Eight,Spades,Queen,Spades,Two,One_Pair
Hearts,Seven,Spades,Ten,Clubs,Eight,Spades,Two,Diamonds,Five,Nothing
Spades,Four,Spades,Two,Diamonds,Queen,Spades,Six,Clubs,Four,One_Pair
Diamonds,Jack,Spades,Eight,Clubs,Seven,Hearts,Three,Spades,Two,Nothing
Spades,Ace,Clubs,Seven,Spades,Eight,Hearts,Jack,Diamonds,Queen,Nothing
Spades,Three,Spades,Nine,Clubs,Jack,Spades,Ten,Spades,Six,Nothing
Clubs,King,Diamonds,Seven,Spades,Ten,Clubs,Six,Spades,Nine,Nothing
Clubs,Three,Hearts,King,Diamonds,King,Hearts,Five,Spades,King,Three_Kind
Spades,Eight,Clubs,Seven,Clubs,Queen,Spades,Seven,Hearts,Jack,One_Pair
Hearts,Ace,Clubs,Nine,Hearts,Three,Clubs,Five,Spades,Six,Nothing
Hearts,King,Hearts,Seven,Hearts,Nine,Hearts,Jack,Clubs,Six,Nothing
Hearts,Jack,Diamonds,Four,Hearts,Four,Clubs,Three,Spades,Nine,One_Pair
Hearts,Nine,Spades,Seven,Clubs,Six,Spades,Five,Clubs,Five,One_Pair
Hearts,King,Diamonds,Five,Diamonds,Queen,Hearts,Ace,Hearts,Eight,Nothing
Hearts,Six,Spades,Eight,Clubs,Four,Clubs,Two,Hearts,Five,Nothing
Hearts,Five,Hearts,Queen,Diamonds,Jack,Diamonds,Five,Clubs,Two,One_Pair
Clubs,Ace,Hearts,King,Diamonds,Two,Spades,Six,Diamonds,Seven,Nothing
Spades,Jack,Hearts,Three,Clubs,Six,Diamonds,Eight,Spades,Ace,Nothing
Spades,Five,Clubs,King,Clubs,Seven,Diamonds,Two,Clubs,Eight,Nothing
Hearts,Ten,Diamonds,Nine,Clubs,Six,Diamonds,Four,Spades,Ten,One_Pair
Hearts,Nine,Diamonds,King,Spades,Five,Hearts,Eight,Hearts,Three,Nothing
Hearts,Four,Diamonds,King,Spades,Five,Clubs,Nine,Clubs,Jack,Nothing
Spades,Eight,Spades,Nine,Clubs,Ten,Diamonds,Two,Spades,Five,Nothing
Hearts,Two,Clubs,Four,Diamonds,Six,Diamonds,Two,Clubs,Five,One_Pair
Hearts,King,Spades,Six,Clubs,King,Hearts,Two,Clubs,Four,One_Pair
Spades,Ten,Clubs,Eight,Hearts,Queen,Clubs,Ten,Clubs,Three,One_Pair
Hearts,Queen,Clubs,Eight,Spades,Six,Clubs,Six,Clubs,Jack,One_Pair
Diamonds,Ace,Hearts,Eight,Clubs,Five,Clubs,Two,Clubs,Four,Nothing
Diamonds,Five,Hearts,King,Hearts,Queen,Diamonds,Seven,Diamonds,Nine,Nothing
Diamonds,Three,Clubs,Eight,Clubs,Three,Clubs,Six,Spades,Jack,One_Pair
Hearts,Six,Clubs,Queen,Hearts,Nine,Hearts,Seven,Diamonds,Three,Nothing
Spades,King,Hearts,King,Spades,Ten,Clubs,Three,Diamonds,Queen,One_Pair
Hearts,Jack,Clubs,Ace,Hearts,Four,Diamonds,Four,Spades,Ace,Two_Pairs
Clubs,Five,Spades,Nine,Spades,Five,Diamonds,Nine,Diamonds,Six,Two_Pairs
Clubs,Eight,Clubs,Six,Diamonds,Ace,Clubs,Queen,Hearts,Ten,Nothing
Hearts,Nine,Diamonds,Jack,Hearts,Three,Hearts,Six,Hearts,Seven,Nothing
Clubs,Ten,Clubs,Two,Clubs,Five,Hearts,Jack,Diamonds,Jack,One_Pair
Clubs,Four,Spades,Queen,Hearts,Three,Spades,King,Clubs,Seven,Nothing
Clubs,Nine,Hearts,Two,Diamonds,Five,Diamonds,Six,Spades,Queen,Nothing
Diamonds,Eight,Spades,King,Clubs,Four,Spades,Ten,Diamonds,King,One_Pair
Diamonds,Queen,Spades,Five,Spades,Jack,Spades,Queen,Hearts,Three,One_Pair
Spades,Six,Clubs,Two,Hearts,Three,Diamonds,Ace,Hearts,King,Nothing
Diamonds,Jack,Clubs,Seven,Hearts,King,Hearts,Seven,Hearts,Eight,One_Pair
Diamonds,Queen,Clubs,Six,Hearts,Six,Hearts,Nine,Clubs,King,One_Pair
Clubs,Five,Clubs,Jack,Clubs,Two,Diamonds,Nine,Diamonds,Ten,Nothing
Diamonds,Jack,Diamonds,Seven,Clubs,King,Clubs,Six,Clubs,Four,Nothing
Hearts,Six,Clubs,Seven,Clubs,Ten,Spades,Eight,Diamonds,Ten,One_Pair
Hearts,Jack,Diamonds,Three,Diamonds,Seven,Diamonds,Ten,Spades,Seven,One_Pair
Clubs,Ten,Diamonds,Eight,Spades,Ace,Clubs,Four,Hearts,Three,Nothing
Hearts,Three,Diamonds,Nine,Clubs,Two,Clubs,Eight,Hearts,Four,Nothing
Diamonds,Eight,Spades,Two,Diamonds,Queen,Clubs,Six,Spades,Five,Nothing
Spades,Jack,Clubs,Ace,Clubs,Seven,Spades,Seven,Hearts,Four,One_Pair
Hearts,Six,Clubs,Jack,Diamonds,Eight,Hearts,Seven,Spades,Queen,Nothing
Diamonds,Ace,Diamonds,Six,Spades,Seven,Spades,Four,Clubs,Five,Nothing
Clubs,Five,Spades,Ten,Spades,Eight,Spades,Three,Hearts,Five,One_Pair
Spades,Two,Diamonds,Six,Clubs,King,Spades,Three,Clubs,Two,One_Pair
Clubs,Three,Hearts,Four,Clubs,Five,Diamonds,Two,Spades,King,Nothing
Diamonds,Three,Diamonds,Nine,Hearts,Seven,Spades,Six,Spades,Two,Nothing
Spades,Queen,Hearts,Four,Clubs,Queen,Hearts,Ace,Diamonds,Nine,One_Pair
Clubs,Queen,Hearts,Two,Clubs,Five,Clubs,Nine,Clubs,Jack,Nothing
Clubs,Nine,Clubs,Jack,Diamonds,Two,Diamonds,Eight,Clubs,Six,Nothing
Diamonds,Four,Hearts,King,Hearts,Jack,Hearts,Ten,Spades,Five,Nothing
Spades,Four,Spades,Seven,Hearts,Ace,Hearts,Four,Spades,Ten,One_Pair
Hearts,Two,Diamonds,Eight,Hearts,Three,Hearts,Nine,Diamonds,King,Nothing
Clubs,Ace,Diamonds,Ace,Spades,Five,Clubs,Three,Spades,Two,One_Pair
Clubs,Three,Clubs,King,Hearts,Seven,Clubs,Five,Clubs,Queen,Nothing
